destination,country,tags,description,rating,popularity,price_level
"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula",Italy,Cultural Europe and North America Historic Landmark World Heritage," The Cilento is an outstanding cultural landscape. The dramatic groups of sanctuaries and settlements along its three east–west mountain ridges vividly portray the area's historical evolution: it was a major route not only for trade, but also for cultural and political interaction during the prehistoric and medieval periods. The Cilento was also the boundary between the Greek colonies of Magna Graecia and the indigenous Etruscan and Lucanian peoples. The remains of two major cities from classical times, Paestum and Velia, are found there. ",4.9,84,3
Bryggen,Norway,Cultural Europe and North America Historic Landmark World Heritage," Bryggen, the old wharf of Bergen, is a reminder of the town’s importance as part of the Hanseatic League’s trading empire from the 14th to the mid-16th century. Many fires, the last in 1955, have ravaged the characteristic wooden houses of Bryggen. Its rebuilding has traditionally followed old patterns and methods, thus leaving its main structure preserved, which is a relic of an ancient wooden urban structure once common in Northern Europe. Today, some 62 buildings remain of this former townscape. ",4.9,80,3
Ruins of Loropéni,Burkina Faso,Cultural Africa Historic Landmark World Heritage," The 11,130m2 property, the first to be inscribed in the country, with its imposing stone walls is the best preserved of ten fortresses in the Lobi area and is part of a larger group of 100 stone enclosures that bear testimony to the power of the trans-Saharan gold trade. Situated near the borders of C&ocirc;te d&rsquo;Ivoire, Ghana and Togo, the ruins have recently been shown to be at least 1,000 years old. The settlement was occupied by the Lohron or Koulango peoples, who controlled the extraction and transformation of gold in the region when it reached its apogee from the 14th to the 17th century. Much mystery surrounds this site large parts of which have yet to be excavated. The settlement seems to have been abandoned during some periods during its long history. The property which was finally deserted in the early 19th century is expected to yield much more information. ",4.7,67,3
Erzgebirge/Krušnohoří Mining Region,"Czechia,Germany",Cultural Europe and North America Historic Landmark World Heritage,"Erzgebirge/Krušnohoří (Ore Mountains) spans a region in south-eastern Germany (Saxony) and north-western Czechia, which contains a wealth of several metals exploited through mining from the Middle Ages onwards. The region became the most important source of silver ore in Europe from 1460 to 1560 and was the trigger for technological innovations. Tin was historically the second metal to be extracted and processed at the site. At the end of the 19th century, the region became a major global producer of uranium. The cultural landscape of the Ore Mountains has been deeply shaped by 800 years of almost continuous mining, from the 12th to the 20th century, with mining, pioneering water management systems, innovative mineral processing and smelting sites, and mining cities.",4.5,90,1
Perth,Australia,City Trip Nature Landscape Adventure Hiking Beach Sea Tropical,"Sun-kissed beaches meet a laid-back city vibe with sprawling parks, buzzing markets, and a sense of space that feels refreshingly open.",4.0,63,3
Trinidad and the Valley de los Ingenios,Cuba,Cultural Latin America and the Caribbean Historic Landmark World Heritage," Founded in the early 16th century in honour of the Holy Trinity, the city was a bridgehead for the conquest of the American continent. Its 18th- and 19th-century buildings, such as the Palacio Brunet and the Palacio Cantero, were built in its days of prosperity from the sugar trade. ",4.6,62,3
Margravial Opera House Bayreuth,Germany,Cultural Europe and North America Historic Landmark World Heritage," A masterpiece of Baroque theatre architecture, built between 1745 and 1750, the Opera House is the only entirely preserved example of its type where an audience of 500 can experience Baroque court opera culture and acoustics authentically, as its auditorium retains its original materials, i.e. wood and canvas. Commissioned by Margravine Wilhelmine, wife of Frederick, Margrave of Brandenburg&ndash;Bayreuth, it was designed by the renowned theatre architect Giuseppe Galli Bibiena. As a court opera house in a public space, it foreshadowed the large public theatres of the 19th century. The highly decorated theatre&rsquo;s tiered loge structure of wood with illusionistic painted canvas represents the ephemeral ceremonial architectural tradition that was employed in pageants and celebrations for princely self-representation. ",4.7,69,2
Kampala,Uganda,City Trip Nature Landscape Culture History Art,"Bustling streets filled with vibrant markets, the aroma of local cuisine, and a lively cultural scene create an inviting urban adventure.",4.9,77,1
Central Suriname Nature Reserve,Suriname,Natural Latin America and the Caribbean Historic Landmark World Heritage," The Central Suriname Nature Reserve comprises 1.6 million ha of primary tropical forest of west-central Suriname. It protects the upper watershed of the Coppename River and the headwaters of the Lucie, Oost, Zuid, Saramaccz, and Gran Rio rivers and covers a range of topography and ecosystems of notable conservation value due to its pristine state. Its montane and lowland forests contain a high diversity of plant life with more than 5,000 vascular plant species collected to date. The Reserve's animals are typical of the region and include the jaguar, giant armadillo, giant river otter, tapir, sloths, eight species of primates and 400 bird species such as harpy eagle, Guiana cock-of-the-rock, and scarlet macaw. ",4.7,79,1
Manama,Bahrain,City Trip Culture History Art Nightlife Party,"A blend of modern skyscrapers and traditional souks, offering a warm, welcoming atmosphere with the aroma of spices and sea breezes.",4.6,94,3
Sassanid Archaeological Landscape of Fars Region,Iran (Islamic Republic of),Cultural Asia and the Pacific Historic Landmark World Heritage," The eight archaeological sites situated in three geographical areas in the southeast of Fars Province: Firuzabad, Bishapur and Sarvestan. The fortified structures, palaces and city plans date back to the earliest and latest times of the Sassanian Empire, which stretched across the region from 224 to 658 CE. Among these sites is the capital built by the founder of the dynasty, Ardashir Papakan, as well as a city and architectural structures of his successor, Shapur I. The archaeological landscape reflects the optimized utilization of natural topography and bears witness to the influence of Achaemenid and Parthian cultural traditions and of Roman art, which had a significant impact on the architecture of the Islamic era. ",4.5,54,1
Funchal,Portugal,City Trip Nature Landscape Culture History Art,"Charming cobblestone streets lined with vibrant flowers, ocean breezes, and the aroma of local cuisine create a welcoming and relaxed atmosphere.",4.6,64,3
Upper Middle Rhine Valley,Germany,Cultural Europe and North America Historic Landmark World Heritage," The 65km-stretch of the Middle Rhine Valley, with its castles, historic towns and vineyards, graphically illustrates the long history of human involvement with a dramatic and varied natural landscape. It is intimately associated with history and legend and for centuries has exercised a powerful influence on writers, artists and composers. ",4.9,85,3
Khajuraho Group of Monuments,India,Cultural Asia and the Pacific Historic Landmark World Heritage," The temples at Khajuraho were built during the Chandella dynasty, which reached its apogee between 950 and 1050. Only about 20 temples remain; they fall into three distinct groups and belong to two different religions &ndash; Hinduism and Jainism. They strike a perfect balance between architecture and sculpture. The Temple of Kandariya is decorated with a profusion of sculptures that are among the greatest masterpieces of Indian art. ",4.7,75,2
Algarve,Portugal,City Trip Nature Landscape Adventure Hiking Beach Sea Tropical,"Golden cliffs and serene beaches meet charming villages, where the scent of grilled sardines and the sound of ocean waves fill the air.",4.1,79,3
Bronze Age Burial Site of Sammallahdenmäki,Finland,Cultural Europe and North America Historic Landmark World Heritage," This Bronze Age burial site features more than 30 granite burial cairns, providing a unique insight into the funerary practices and social and religious structures of northern Europe more than three millennia ago. ",4.7,56,3
Town of Luang Prabang,Lao People's Democratic Republic,Cultural Asia and the Pacific Historic Landmark World Heritage," Luang Prabang is an outstanding example of the fusion of traditional architecture and Lao urban structures with those built by the European colonial authorities in the 19th and 20th centuries. Its unique, remarkably well-preserved townscape illustrates a key stage in the blending of these two distinct cultural traditions. ",4.5,87,2
"Cathedral of Notre-Dame, Former Abbey of Saint-Rémi and Palace of Tau, Reims",France,Cultural Europe and North America Historic Landmark World Heritage," The outstanding handling of new architectural techniques in the 13th century, and the harmonious marriage of sculptural decoration with architecture, has made Notre-Dame in Reims one of the masterpieces of Gothic art. The former abbey still has its beautiful 9th-century nave, in which lie the remains of Archbishop St R&eacute;mi (440&ndash;533), who instituted the Holy Anointing of the kings of France. The former archiepiscopal palace known as the Tau Palace, which played an important role in religious ceremonies, was almost entirely rebuilt in the 17th century. ",4.7,92,2
Thungyai-Huai Kha Khaeng Wildlife Sanctuaries,Thailand,Natural Asia and the Pacific Historic Landmark World Heritage," Stretching over more than 600,000 ha along the Myanmar border, the sanctuaries, which are relatively intact, contain examples of almost all the forest types of continental South-East Asia. They are home to a very diverse array of animals, including 77% of the large mammals (especially elephants and tigers), 50% of the large birds and 33% of the land vertebrates to be found in this region. ",4.7,62,2
"Historic Ensemble of the Potala Palace, Lhasa",China,Cultural Asia and the Pacific Historic Landmark World Heritage," The Potala Palace, winter palace of the Dalai Lama since the 7th century, symbolizes Tibetan Buddhism and its central role in the traditional administration of Tibet. The complex, comprising the White and Red Palaces with their ancillary buildings, is built on Red Mountain in the centre of Lhasa Valley, at an altitude of 3,700m. Also founded in the 7th century, the Jokhang Temple Monastery is an exceptional Buddhist religious complex. Norbulingka, the Dalai Lama's former summer palace, constructed in the 18th century, is a masterpiece of Tibetan art. The beauty and originality of the architecture of these three sites, their rich ornamentation and harmonious integration in a striking landscape, add to their historic and religious interest. ",4.8,60,2
"Grimeton Radio Station, Varberg",Sweden,Cultural Europe and North America Historic Landmark World Heritage," The Varberg Radio Station at Grimeton in southern Sweden (built 1922–24) is an exceptionally well-preserved monument to early wireless transatlantic communication. It consists of the transmitter equipment, including the aerial system of six 127-m high steel towers. Although no longer in regular use, the equipment has been maintained in operating condition. The 109.9-ha site comprises buildings housing the original Alexanderson transmitter, including the towers with their antennae, short-wave transmitters with their antennae, and a residential area with staff housing. The architect Carl Åkerblad designed the main buildings in the neoclassical style and the structural engineer Henrik Kreüger was responsible for the antenna towers, the tallest built structures in Sweden at that time. The site is an outstanding example of the development of telecommunications and is the only surviving example of a major transmitting station based on pre-electronic technology. ",4.9,57,3
Palace and Park of Versailles,France,Cultural Europe and North America Historic Landmark World Heritage," The Palace of Versailles was the principal residence of the French kings from the time of Louis XIV to Louis XVI. Embellished by several generations of architects, sculptors, decorators and landscape architects, it provided Europe with a model of the ideal royal residence for over a century. ",4.5,67,3
Chaîne des Puys - Limagne fault tectonic arena,France,Natural Europe and North America Historic Landmark World Heritage," Situated in the centre of France, the property comprises the long Limagne fault, the alignments of the Chaîne des Puys volcanoes and the inverted relief of the Montagne de la Serre. It is an emblematic segment of the West European Rift, created in the aftermath of the formation of the Alps, 35 million years ago. The geological features of the property demonstrate how the continental crust cracks, then collapses, allowing deep magma to rise and cause uplifting at the surface. The property is an exceptional illustration of continental break-up – or rifting – which is one of the five major stages of plate tectonics. ",4.6,85,2
Rietveld Schröderhuis (Rietveld Schröder House),Netherlands,Cultural Europe and North America Historic Landmark World Heritage," The Rietveld Schröder House in Utrecht was commissioned by Ms Truus Schröder-Schräder, designed by the architect Gerrit Thomas Rietveld, and built in 1924. This small family house, with its interior, the flexible spatial arrangement, and the visual and formal qualities, was a manifesto of the ideals of the De Stijl group of artists and architects in the Netherlands in the 1920s, and has since been considered one of the icons of the Modern Movement in architecture. ",4.9,93,2
Royal Monastery of Santa María de Guadalupe,Spain,Cultural Europe and North America Historic Landmark World Heritage, The monastery is an outstanding repository of four centuries of Spanish religious architecture. It symbolizes two significant events in world history that occurred in 1492: the Reconquest of the Iberian peninsula by the Catholic Kings and Christopher Columbus' arrival in the Americas. Its famous statue of the Virgin became a powerful symbol of the Christianization of much of the New World. ,4.7,89,2
Las Médulas,Spain,Cultural Europe and North America Historic Landmark World Heritage," In the 1st century A.D. the Roman Imperial authorities began to exploit the gold deposits of this region in north-west Spain, using a technique based on hydraulic power. After two centuries of working the deposits, the Romans withdrew, leaving a devastated landscape. Since there was no subsequent industrial activity, the dramatic traces of this remarkable ancient technology are visible everywhere as sheer faces in the mountainsides and the vast areas of tailings, now used for agriculture. ",4.8,57,3
Historic City of Sucre,Bolivia (Plurinational State of),Cultural Latin America and the Caribbean Historic Landmark World Heritage," Sucre, the first capital of Bolivia, was founded by the Spanish in the first half of the 16th century. Its many well-preserved 16th-century religious buildings, such as San L&aacute;zaro, San Francisco and Santo Domingo, illustrate the blending of local architectural traditions with styles imported from Europe. ",5.0,93,3
Lhasa,China,City Trip Nature Landscape Culture History Art Adventure Hiking,High-altitude streets filled with the scent of incense and the sound of prayer wheels create a serene yet vibrant atmosphere.,3.5,76,5
Town of Bamberg,Germany,Cultural Europe and North America Historic Landmark World Heritage," From the 10th century onwards, this town became an important link with the Slav peoples, especially those of Poland and Pomerania. During its period of greatest prosperity, from the 12th century onwards, the architecture of Bamberg strongly influenced northern Germany and Hungary. In the late 18th century it was the centre of the Enlightenment in southern Germany, with eminent philosophers and writers such as Hegel and Hoffmann living there. ",4.6,57,3
Dakar,Senegal,City Trip Culture History Art Beach Sea Tropical,"Bustling markets, rhythmic music, and vibrant street life create an energetic atmosphere that's both captivating and welcoming.",4.4,83,3
Chan Chan Archaeological Zone,Peru,Cultural Latin America and the Caribbean Historic Landmark World Heritage," The Chimu Kingdom, with Chan Chan as its capital, reached its apogee in the 15th century, not long before falling to the Incas. The planning of this huge city, the largest in pre-Columbian America, reflects a strict political and social strategy, marked by the city's division into nine 'citadels' or 'palaces' forming autonomous units. ",4.8,78,3
Victoria,Seychelles,City Trip Nature Landscape Adventure Hiking Beach Sea Tropical,"Lush tropical landscapes meet the vibrant colors of bustling markets, offering a sensory feast of exotic flavors and warm ocean breezes.",4.9,72,5
York,United Kingdom,City Trip Culture History Art,"Charming cobblestone streets and ancient city walls create a cozy, inviting atmosphere, where history and modern vibrancy coexist beautifully.",3.7,70,3
Rovaniemi,Finland,City Trip Nature Landscape Adventure Hiking,"Snow-draped forests, cozy log cabins, and the ethereal dance of the Northern Lights create a magical winter wonderland experience.",3.6,93,3
Gunung Mulu National Park,Malaysia,Natural Asia and the Pacific Historic Landmark World Heritage," Important both for its high biodiversity and for its karst features, Gunung Mulu National Park, on the island of Borneo in the State of Sarawak, is the most studied tropical karst area in the world. The 52,864-ha park contains seventeen vegetation zones, exhibiting some 3,500 species of vascular plants. Its palm species are exceptionally rich, with 109 species in twenty genera noted. The park is dominated by Gunung Mulu, a 2,377 m-high sandstone pinnacle. At least 295 km of explored caves provide a spectacular sight and are home to millions of cave swiftlets and bats. The Sarawak Chamber, 600 m by 415 m and 80 m high, is the largest known cave chamber in the world. ",4.6,53,2
Gebel Barkal and the Sites of the Napatan Region,Sudan,Cultural Arab States Historic Landmark World Heritage," These five archaeological sites, stretching over more than 60 km in the Nile valley, are testimony to the Napatan (900 to 270 BC) and Meroitic (270 BC to 350 AD) cultures, of the second kingdom of Kush. Tombs, with and without pyramids, temples, living complexes and palaces, are to be found on the site. Since Antiquity, the hill of Gebel Barkal has been strongly associated with religious traditions and folklore. The largest temples are still considered by the local people as sacred places. ",4.9,87,1
Western Tien-Shan,"Kazakhstan,Kyrgyzstan,Uzbekistan",Natural Asia and the Pacific Historic Landmark World Heritage," The transnational property is located in the Tien-Shan mountain system, one of the largest mountain ranges in the world. Western Tien-Shan ranges in altitude from 700 to 4,503 m. It features diverse landscapes, which are home to exceptionally rich biodiversity. It is of global importance as a centre of origin for a number of cultivated fruit crops and is home to a great diversity of forest types and unique plant community associations.  ",4.6,77,3
"The Jantar Mantar, Jaipur",India,Cultural Asia and the Pacific Historic Landmark World Heritage," The Jantar Mantar, in Jaipur, is an astronomical observation site built in the early 18th century. It includes a set of some 20 main fixed instruments. They are monumental examples in masonry of known instruments but which in many cases have specific characteristics of their own. Designed for the observation of astronomical positions with the naked eye, they embody several architectural and instrumental innovations. This is the most significant, most comprehensive, and the best preserved of India's historic observatories. It is an expression of the astronomical skills and cosmological concepts of the court of a scholarly prince at the end of the Mughal period. ",5.0,63,1
Baalbek,Lebanon,Cultural Arab States Historic Landmark World Heritage," This Phoenician city, where a triad of deities was worshipped, was known as Heliopolis during the Hellenistic period. It retained its religious function during Roman times, when the sanctuary of the Heliopolitan Jupiter attracted thousands of pilgrims. Baalbek, with its colossal structures, is one of the finest examples of Imperial Roman architecture at its apogee. ",4.6,70,3
Antigua,Guatemala,City Trip Nature Landscape Culture History Art,Cobblestone streets lined with colorful colonial buildings and vibrant markets create an enchanting atmosphere that feels both historic and warmly inviting.,4.0,92,1
Historic Centre of the Town of Olinda,Brazil,Cultural Latin America and the Caribbean Historic Landmark World Heritage," Founded in the 16th century by the Portuguese, the town&rsquo;s history is linked to the sugar-cane industry. Rebuilt after being looted by the Dutch, its basic urban fabric dates from the 18th century. The harmonious balance between the buildings, gardens, 20 Baroque churches, convents and numerous small passos (chapels) all contribute to Olinda&rsquo;s particular charm. ",4.6,93,2
Twyfelfontein or /Ui-//aes,Namibia,Cultural Africa Historic Landmark World Heritage," Twyfelfontein or /Ui-//aes has one of the largest concentrations of [...] petroglyphs, i.e. rock engravings in Africa. Most of these well-preserved engravings represent rhinoceros, . The site also includes six painteelephant, ostrich and giraffe, as well as drawings of human and animal footprintsd rock shelters with motifs of human figures in red ochre. The objects excavated from two sections, date from the Late Stone Age. The site forms a coherent, extensive and high-quality record of ritual practices relating to hunter-gatherer communities in this part of southern Africa over at least 2,000 years, and eloquently illustrates the links between the ritual and economic practices of hunter-gatherers. ",4.6,71,3
Beira,Mozambique,City Trip,Warm ocean breezes mix with the vibrant energy of local markets and the relaxed charm of coastal streets lined with casuarina trees.,4.8,62,1
Hiroshima Peace Memorial (Genbaku Dome),Japan,Cultural Asia and the Pacific Historic Landmark World Heritage," The Hiroshima Peace Memorial (Genbaku Dome) was the only structure left standing in the area where the first atomic bomb exploded on 6 August 1945. Through the efforts of many people, including those of the city of Hiroshima, it has been preserved in the same state as immediately after the bombing. Not only is it a stark and powerful symbol of the most destructive force ever created by humankind; it also expresses the hope for world peace and the ultimate elimination of all nuclear weapons. ",5.0,55,1
Zakynthos,Greece,City Trip Nature Landscape Beach Sea Tropical Nightlife Party,"Golden sandy beaches, crystal-clear waters, and charming villages create a serene and inviting atmosphere perfect for relaxation and exploration.",4.8,84,3
Gjirokastër,Albania,City Trip Nature Landscape Culture History Art,"Winding cobblestone streets and stone-roofed houses create a timeless atmosphere, with echoes of history in every corner and stunning mountain views.",4.7,99,1
Hanseatic Town of Visby,Sweden,Cultural Europe and North America Historic Landmark World Heritage," A former Viking site on the island of Gotland, Visby was the main centre of the Hanseatic League in the Baltic from the 12th to the 14th century. Its 13th-century ramparts and more than 200 warehouses and wealthy merchants' dwellings from the same period make it the best-preserved fortified commercial city in northern Europe. ",4.8,76,1
Himeji-jo,Japan,Cultural Asia and the Pacific Historic Landmark World Heritage," Himeji-jo is the finest surviving example of early 17th-century Japanese castle architecture, comprising 83 buildings with highly developed systems of defence and ingenious protection devices dating from the beginning of the Shogun period. It is a masterpiece of construction in wood, combining function with aesthetic appeal, both in its elegant appearance unified by the white plastered earthen walls and in the subtlety of the relationships between the building masses and the multiple roof layers. ",5.0,90,2
Ancient City of Sigiriya,Sri Lanka,Cultural Asia and the Pacific Historic Landmark World Heritage," The ruins of the capital built by the parricidal King Kassapa I (477&ndash;95) lie on the steep slopes and at the summit of a granite peak standing some 180m high (the 'Lion's Rock', which dominates the jungle from all sides). A series of galleries and staircases emerging from the mouth of a gigantic lion constructed of bricks and plaster provide access to the site. ",4.9,57,2
Baroque Churches of the Philippines,Philippines,Cultural Asia and the Pacific Historic Landmark World Heritage," These four churches, the first of which was built by the Spanish in the late 16th century, are located in Manila, Santa Maria, Paoay and Miag-ao. Their unique architectural style is a reinterpretation of European Baroque by Chinese and Philippine craftsmen. ",4.6,66,1
Mesa Verde National Park,United States of America,Cultural Europe and North America Historic Landmark World Heritage," A great concentration of ancestral Pueblo Indian dwellings, built from the 6th to the 12th century, can be found on the Mesa Verde plateau in south-west Colorado at an altitude of more than 2,600 m. Some 4,400 sites have been recorded, including villages built on the Mesa top. There are also imposing cliff dwellings, built of stone and comprising more than 100 rooms. ",4.7,87,3
Historic Centre of San Gimignano,Italy,Cultural Europe and North America Historic Landmark World Heritage," 'San Gimignano delle belle Torri' is in Tuscany, 56 km south of Florence. It served as an important relay point for pilgrims travelling to or from Rome on the Via Francigena. The patrician families who controlled the town built around 72 tower-houses (some as high as 50 m) as symbols of their wealth and power. Although only 14 have survived, San Gimignano has retained its feudal atmosphere and appearance. The town also has several masterpieces of 14th- and 15th-century Italian art. ",4.9,87,2
Lyon,France,City Trip Culture History Art Nightlife Party,"Charming cobblestone streets, riverside views, and an irresistible culinary scene make every moment feel like a delightful discovery.",3.7,93,3
Vegaøyan – The Vega Archipelago,Norway,Cultural Europe and North America Historic Landmark World Heritage," A cluster of dozens of islands centred on Vega, just south of the Arctic Circle, forms a cultural landscape of 107,294 ha, of which 6,881 ha is land. The islands bear testimony to a distinctive frugal way of life based on fishing and the harvesting of the down of eider ducks, in an inhospitable environment. There are fishing villages, quays, warehouses, eider houses (built for eider ducks to nest in), farming landscapes, lighthouses and beacons. There is evidence of human settlement from the Stone Age onwards. By the 9th century, the islands had become an important centre for the supply of down, which appears to have accounted for around a third of the islanders’ income. The Vega Archipelago reflects the way fishermen/farmers have, over the past 1,500 years, maintained a sustainable living and the contribution of women to eiderdown harvesting. ",4.9,87,1
Cocos Island National Park,Costa Rica,Natural Latin America and the Caribbean Historic Landmark World Heritage," Cocos Island National Park, located 550 km off the Pacific coast of Costa Rica, is the only island in the tropical eastern Pacific with a tropical rainforest. Its position as the first point of contact with the northern equatorial counter-current, and the myriad interactions between the island and the surrounding marine ecosystem, make the area an ideal laboratory for the study of biological processes. The underwater world of the national park has become famous due to the attraction it holds for divers, who rate it as one of the best places in the world to view large pelagic species such as sharks, rays, tuna and dolphins. ",4.6,69,1
Ancient Villages of Northern Syria,Syrian Arab Republic,Cultural Arab States Historic Landmark World Heritage," Some 40 villages grouped in eight parks situated in north-western Syria provide remarkable testimony to rural life in late Antiquity and during the Byzantine period. Abandoned in the 8th to 10th centuries, the villages, which date from the 1st to 7th centuries, feature a remarkably well preserved landscape and the architectural remains of dwellings, pagan temples, churches, cisterns, bathhouses etc. The relict cultural landscape of the villages also constitutes an important illustration of the transition from the ancient pagan world of the Roman Empire to Byzantine Christianity. Vestiges illustrating hydraulic techniques, protective walls and Roman agricultural plot plans furthermore offer testimony to the inhabitants' mastery of agricultural production. ",4.7,61,1
Incense Route - Desert Cities in the Negev,Israel,Cultural Europe and North America Historic Landmark World Heritage," The four Nabatean towns of Haluza, Mamshit, Avdat and Shivta, along with associated fortresses and agricultural landscapes in the Negev Desert, are spread along routes linking them to the Mediterranean end of the incense and spice route. Together they reflect the hugely profitable trade in frankincense and myrrh from south Arabia to the Mediterranean, which flourished from the 3rd century BC until the 2nd century AD. With the vestiges of their sophisticated irrigation systems, urban constructions, forts and caravanserai, they bear witness to the way in which the harsh desert was settled for trade and agriculture. ",4.8,94,2
Playa del Carmen,Mexico,City Trip Nature Landscape Adventure Hiking Beach Sea Tropical Nightlife Party,"Sun-drenched beaches, vibrant nightlife, and a laid-back vibe create an inviting atmosphere perfect for both adventure and relaxation.",4.4,91,3
Talamanca Range-La Amistad Reserves / La Amistad National Park,"Costa Rica,Panama",Natural Latin America and the Caribbean Historic Landmark World Heritage," The location of this unique site in Central America, where Quaternary glaciers have left their mark, has allowed the fauna and flora of North and South America to interbreed. Tropical rainforests cover most of the area. Four different Indian tribes inhabit this property, which benefits from close co-operation between Costa Rica and Panama. ",5.0,57,2
Manú National Park,Peru,Natural Latin America and the Caribbean Historic Landmark World Heritage," This huge 1.5 million-ha park has successive tiers of vegetation rising from 150 to 4,200 m above sea-level. The tropical forest in the lower tiers is home to an unrivalled variety of animal and plant species. Some 850 species of birds have been identified and rare species such as the giant otter and the giant armadillo also find refuge there. Jaguars are often sighted in the park. ",4.6,54,1
Chiang Mai,Thailand,City Trip Nature Landscape Culture History Art Adventure Hiking,"Lush mountain landscapes and vibrant night markets create a serene yet lively atmosphere, inviting exploration and relaxation at every turn.",3.8,64,1
Salt Lake City,United States,City Trip Nature Landscape Adventure Hiking,"Surrounded by stunning mountains, this city offers a blend of vibrant urban life and serene natural beauty, perfect for outdoor enthusiasts.",4.0,99,3
Lake Tahoe,United States,City Trip Nature Landscape Adventure Hiking,"Pristine blue waters surrounded by towering pines and mountains create a serene escape, perfect for both adventure and relaxation in nature's embrace.",4.2,81,5
Soltaniyeh,Iran (Islamic Republic of),Cultural Asia and the Pacific Historic Landmark World Heritage," The mausoleum of Oljaytu was constructed in 1302&ndash;12 in the city of Soltaniyeh, the capital of the Ilkhanid dynasty, which was founded by the Mongols. Situated in the province of Zanjan, Soltaniyeh is one of the outstanding examples of the achievements of Persian architecture and a key monument in the development of its Islamic architecture. The octagonal building is crowned with a 50 m tall dome covered in turquoise-blue faience and surrounded by eight slender minarets. It is the earliest existing example of the double-shelled dome in Iran. The mausoleum&rsquo;s interior decoration is also outstanding and scholars such as A.U. Pope have described the building as &lsquo;anticipating the Taj Mahal&rsquo;. ",4.7,71,3
Península Valdés,Argentina,Natural Latin America and the Caribbean Historic Landmark World Heritage, Península Valdés in Patagonia is a site of global significance for the conservation of marine mammals. It is home to an important breeding population of the endangered southern right whale as well as important breeding populations of southern elephant seals and southern sea lions. The orcas in this area have developed a unique hunting strategy to adapt to local coastal conditions. ,4.6,52,3
Old Town Lunenburg,Canada,Cultural Europe and North America Historic Landmark World Heritage," Lunenburg is the best surviving example of a planned British colonial settlement in North America. Established in 1753, it has retained its original layout and overall appearance, based on a rectangular grid pattern drawn up in the home country. The inhabitants have managed to safeguard the city's identity throughout the centuries by preserving the wooden architecture of the houses, some of which date from the 18th century. ",5.0,56,1
Washington,United States,City Trip Culture History Art Nightlife Party,"Majestic landscapes blend with vibrant city life, offering a mix of natural beauty, cultural richness, and a welcoming atmosphere.",4.0,72,3
"Provins, Town of Medieval Fairs",France,Cultural Europe and North America Historic Landmark World Heritage," The fortified medieval town of Provins is situated in the former territory of the powerful Counts of Champagne. It bears witness to early developments in the organization of international trading fairs and the wool industry. The urban structure of Provins, which was built specifically to host the fairs and related activities, has been well preserved. ",4.9,94,3
Río Plátano Biosphere Reserve,Honduras,Natural Latin America and the Caribbean Historic Landmark World Heritage," Located on the watershed of the R&iacute;o Pl&aacute;tano, the reserve is one of the few remains of a tropical rainforest in Central America and has an abundant and varied plant and wildlife. In its mountainous landscape sloping down to the Caribbean coast, over 2,000 indigenous people have preserved their traditional way of life. ",4.6,70,2
Savusavu,Fiji,City Trip Nature Landscape Adventure Hiking Beach Sea Tropical,"Tucked away on a tranquil bay, this tropical haven offers lush landscapes, warm ocean breezes, and a welcoming, laid-back island vibe.",4.9,62,3
Carolingian Westwork and Civitas Corvey,Germany,Cultural Europe and North America Historic Landmark World Heritage," The site is located along the Weser River on the outskirts of Höxter where the Carolingian Westwork and Civitas Corvey were erected between AD 822 and 885 in a largely preserved rural setting. The Westwork is the only standing structure that dates back to the Carolingian era, while the original imperial abbey complex is preserved as archaeological remains that are only partially excavated. The Westwork of Corvey uniquely illustrates one of the most important Carolingian architectural expressions. It is a genuine creation of this period, and its architectural articulation and decoration clearly illustrate the role played within the Frankish empire by imperial monasteries in securing territorial control and administration, as well as the propagation of Christianity and the Carolingian cultural and political order throughout Europe. ",4.7,70,2
Archaeological Site of Cyrene,Libya,Cultural Arab States Historic Landmark World Heritage," A colony of the Greeks of Thera, Cyrene was one of the principal cities in the Hellenic world. It was Romanized and remained a great capital until the earthquake of 365. A thousand years of history is written into its ruins, which have been famous since the 18th century. ",4.7,52,2
Alejandro de Humboldt National Park,Cuba,Natural Latin America and the Caribbean Historic Landmark World Heritage, Complex geology and varied topography have given rise to a diversity of ecosystems and species unmatched in the insular Caribbean and created one of the most biologically diverse tropical island sites on earth. Many of the underlying rocks are toxic to plants so species have had to adapt to survive in these hostile conditions. This unique process of evolution has resulted in the development of many new species and the park is one of the most important sites in the Western Hemisphere for the conservation of endemic flora. Endemism of vertebrates and invertebrates is also very high. ,4.8,54,3
Ichkeul National Park,Tunisia,Natural Arab States Historic Landmark World Heritage," The Ichkeul lake and wetland are a major stopover point for hundreds of thousands of migrating birds, such as ducks, geese, storks and pink flamingoes, who come to feed and nest there. Ichkeul is the last remaining lake in a chain that once extended across North Africa. ",4.8,72,3
Pirin National Park,Bulgaria,Natural Europe and North America Historic Landmark World Heritage," Spread over an area of over 27,000 ha, at an altitude between 1008 and 2914 m in the Pirin Mountains, southwest Bulgaria, the site comprises diverse limestone mountain landscapes with glacial lakes, waterfalls, caves and predominantly coniferous forests. It was added to the World Heritage List in 1983. The extension now covers an area of around 40,000 ha in the Pirin Mountains, and overlaps with the Pirin National Park, except for two areas developed for tourism (skiing). The dominant part of the extension is high mountain territory over 2000m in altitude, and covered mostly by alpine meadows, rocky screes and summits. ",4.7,77,1
